ID	S_CONJ	S_HELPV	S_PRON	S_QUANT	S_QWORDS	S_TIME	S_WF_N	S_WF_V	S_WE_N	S_WE_V	S_COMPLX	D_AGE_C	D_MALE	D_AGE_C2
134506	0.166666666666667	0.523809523809524	0.36	0.294117647058824	0.428571428571429	0.25	0.6	0.15	0	0	0.459459459459459	5	-1	25
134507	1	1	0.96	1	1	1	1	1	0	0	1	5	-1	25
134508	0.333333333333333	0.238095238095238	0.68	0.529411764705882	0.714285714285714	0.75	0.4	0.4	0	0.193548387096774	0.351351351351351	5	1	25
134509	1	0.904761904761905	0.88	0.823529411764706	0.571428571428571	1	0.6	0.7	0.0714285714285714	0	0.891891891891892	5	1	25
134510	0	0.142857142857143	0.36	0.176470588235294	0.428571428571429	0.166666666666667	0.4	0.25	0	0	0.594594594594595	5	1	25
134511	0	0.0952380952380952	0.28	0.0588235294117647	0.428571428571429	0	0.2	0.15	0	0	0.216216216216216	5	1	25
134512	1	1	1	1	1	1	0.6	0.45	0	0.032258064516129	0.135135135135135	5	1	25
134513	0	0.380952380952381	0.24	0.470588235294118	0.285714285714286	0.25	0.6	0.3	0.214285714285714	0	0.351351351351351	5	1	25
134514	0.166666666666667	0.571428571428571	0.64	0.588235294117647	0.285714285714286	0.416666666666667	0.4	0.4	0.214285714285714	0.032258064516129	0.567567567567568	5	1	25
134515	0	0	0.2	0.0588235294117647	0	0	0.4	0.1	0	0	0.918918918918919	5	1	25
134516	0.833333333333333	0.904761904761905	0.92	0.764705882352941	1	0.833333333333333	0.6	0.9	0	0.032258064516129	1	5	1	25
134517	0.5	0.857142857142857	0.88	0.941176470588235	1	0.833333333333333	0.6	0.5	0.0714285714285714	0.0967741935483871	0.783783783783784	5	1	25
134518	0.833333333333333	0.80952380952381	0.96	0.823529411764706	1	0.916666666666667	0.6	0.95	0.142857142857143	0.0967741935483871	0.945945945945946	5	-1	25
134519	0.833333333333333	0.904761904761905	0.92	0.647058823529412	0.857142857142857	0.583333333333333	0.6	0.55	0.142857142857143	0.129032258064516	0.891891891891892	5	-1	25
134520	0.166666666666667	0.476190476190476	0.56	0.352941176470588	0.428571428571429	0.0833333333333333	0.2	0.4	0.0714285714285714	0.0645161290322581	0.72972972972973	5	1	25
134521	0.333333333333333	0.380952380952381	0.44	0.647058823529412	0.285714285714286	0.166666666666667	0.6	0.05	0	0	0.594594594594595	5	1	25
134522	0.166666666666667	0.80952380952381	0.72	0.647058823529412	0.714285714285714	0.583333333333333	0.6	0.6	0	0.032258064516129	0.675675675675676	5	-1	25
134523	0	0.0952380952380952	0.28	0.176470588235294	0.142857142857143	0.0833333333333333	0.6	0.05	0	0	0.0540540540540541	5	-1	25
134524	0.5	0.571428571428571	0.28	0.117647058823529	0.428571428571429	0.583333333333333	0.6	0.15	0	0.0645161290322581	0.837837837837838	5	1	25
134525	1	1	1	1	1	1	0	0	0.428571428571429	0.32258064516129	1	5	-1	25
134526	0.666666666666667	1	0.76	0.764705882352941	0.857142857142857	0.5	0.8	0.55	0	0.032258064516129	0.891891891891892	5	1	25
134527	0.166666666666667	0.476190476190476	0.36	0.352941176470588	0.142857142857143	0.416666666666667	0.4	0.45	0.142857142857143	0.0967741935483871	0.594594594594595	5	1	25
134528	0.166666666666667	0.476190476190476	0.52	0.529411764705882	0.428571428571429	0.416666666666667	0.6	0.35	0	0	0.459459459459459	5	-1	25
134529	0	0	0.72	0.529411764705882	0.571428571428571	0.583333333333333	0.2	0	0.0714285714285714	0	0.0810810810810811	5	-1	25
134530	0.5	0.666666666666667	0.76	0.705882352941177	0.571428571428571	0.916666666666667	0.6	0.5	0.142857142857143	0.0645161290322581	0.918918918918919	5	-1	25
134531	0	0.142857142857143	0.36	0.588235294117647	0.142857142857143	0.5	0.4	0.3	0	0	0.216216216216216	5	1	25
134532	0.333333333333333	0.0476190476190476	0.2	0.176470588235294	0.142857142857143	0	0.4	0.05	0	0.032258064516129	0.162162162162162	5	-1	25
134533	1	1	1	1	1	1	1	1	0	0	1	5	1	25
134534	0.5	0.857142857142857	0.96	0.764705882352941	0.857142857142857	1	0.8	0.9	0.142857142857143	0.0645161290322581	0.621621621621622	5	-1	25
134535	1	0.857142857142857	0.88	0.705882352941177	0.857142857142857	0.75	0.6	0.4	0.0714285714285714	0	0.837837837837838	5	-1	25
134536	0	0.19047619047619	0.16	0.235294117647059	0.571428571428571	0.0833333333333333	0.4	0.05	0	0	0.459459459459459	5	1	25
134537	0	0.19047619047619	0.16	0.235294117647059	0.571428571428571	0.0833333333333333	0.4	0.05	0	0	0.459459459459459	5	-1	25
134538	0	0.476190476190476	0.52	0.294117647058824	0.571428571428571	0.666666666666667	0.6	0.4	0	0.129032258064516	0.513513513513513	5	-1	25
134539	0.166666666666667	0.333333333333333	0.44	0.470588235294118	0.571428571428571	0.5	0.4	0.4	0	0.032258064516129	0.702702702702703	5	1	25
134540	0.333333333333333	0.523809523809524	0.64	0.588235294117647	0.571428571428571	0.416666666666667	0.6	0.35	0.214285714285714	0	0.72972972972973	5	-1	25
134541	0	0.523809523809524	0.36	0.352941176470588	0.428571428571429	0.75	0.4	0.85	0	0.032258064516129	0.918918918918919	5	1	25
134542	0	0.0476190476190476	0.08	0.0588235294117647	0	0.0833333333333333	0	0	0	0	0	5	-1	25
134543	0.666666666666667	0.761904761904762	0.76	0.823529411764706	0.428571428571429	0.75	0.4	0.8	0	0.032258064516129	1	5	1	25
134544	0	0.523809523809524	0.6	0.529411764705882	0.571428571428571	0.666666666666667	0.4	0.5	0	0	0.459459459459459	5	-1	25
134545	0	0.0952380952380952	0.24	0.176470588235294	0.428571428571429	0.0833333333333333	0.4	0.1	0	0	0	5	1	25
134546	0.166666666666667	0.333333333333333	0.64	0.529411764705882	0.428571428571429	0.0833333333333333	0.6	0.1	0.357142857142857	0	0.540540540540541	5	1	25
